"Date" "United.States" "Georgia" "Atlanta" "HHSRegion4"
"2013-01-06" 10112 10380 10455 9060
"2013-01-13" 10555 10231 9976 8722
"2013-01-20" 9408 7813 8823 6387
"2013-01-27" 7209 6294 7383 5132
"2013-02-03" 5541 5344 5919 4237
"2013-02-10" 4555 4755 5230 3655
"2013-02-17" 4240 4563 4998 3512
"2013-02-24" 3784 4355 4713 3231
"2013-03-03" 3504 4208 4601 3237
"2013-03-10" 3242 4177 4513 3066
"2013-03-17" 2894 3572 3869 2717
"2013-03-24" 2673 3288 3234 2467
"2013-03-31" 2482 3085 3080 2287
"2013-04-07" 2121 2141 2298 1742
"2013-04-14" 1747 1535 1746 1300
"2013-04-21" 1681 1433 1664 1194
"2013-04-28" 1534 1343 1469 1091
"2013-05-05" 1438 1259 1376 1037
"2013-05-12" 1286 1112 1237 917
"2013-05-19" 1165 916 1048 841
"2013-05-26" 1149 894 952 767
"2013-06-02" 1063 785 849 701
"2013-06-09" 1024 725 805 672
"2013-06-16" 997 731 799 645
"2013-06-23" 966 688 791 619
"2013-06-30" 925 667 723 607
"2013-07-07" 941 733 818 634
"2013-07-14" 907 714 793 616
"2013-07-21" 956 805 923 658
"2013-07-28" 850 554 567 656
"2013-08-04" 869 547 614 676
"2013-08-11" 907 544 641 720
"2013-08-18" 952 858 940 788
"2013-08-25" 977 920 987 849
"2013-09-01" 1085 888 1158 969
"2013-09-08" 1154 1046 1318 1031
"2013-09-15" 1259 931 1189 982
"2013-09-22" 1350 1101 1209 1104
"2013-09-29" 1363 920 1016 1124
"2013-10-06" 1405 1129 1203 1261
"2013-10-13" 1354 1185 1224 1252
"2013-10-20" 1445 1313 1444 1311
"2013-10-27" 1460 1249 1133 1396
"2013-11-03" 1560 1387 1318 1499
"2013-11-10" 1628 1828 1816 1616
"2013-11-17" 1661 1895 2131 1759
"2013-11-24" 1708 2394 2377 1893
"2013-12-01" 2043 3002 3193 2337
"2013-12-08" 2238 2936 3076 2457
"2013-12-15" 3196 4826 5255 4006
"2013-12-22" 4625 6227 5862 5178
"2013-12-29" 5008 4835 4765 4901
